name,address,access,remarks,latitude,longitude
アドアーズ札幌狸小路店,札幌市中央区南3条西4丁目12-1アルシュビル5・6F,すすきの駅,,,
タイトーステーション札幌狸小路2丁目店,札幌市中央区南3条西2丁目14,すすきの駅,,,
ディノスパーク札幌中央,札幌市中央区南3西1丁目8番地ディノス札幌中央（旧スガイビル）B1F～2F,豊水すすきの駅だがすすきの駅でもそう変わりません,,,
ディノスパークノルベサ,札幌市中央区南3条西5丁目ノルベサ5F,すすきの駅,,,
namcoサッポロファクトリー店,札幌市中央区北1条東4丁目1-1サッポロファクトリー1条館2F,,,,
namco札幌エスタ店,札幌市中央区北5条西2丁目1-1札幌エスタ9F,札幌駅,旧・ワンダーパーク札幌,,
モーリーファンタジー札幌桑園店,札幌市中央区北8条西14丁目28イオン札幌桑園店2F,,,,
ラウンドワン札幌すすきの店,札幌市中央区南5条西3丁目6番地1,,,,
アドアーズ北42条店,札幌市東区北42条東7丁目1-1,麻生駅からバス,,,
キャッツアイ東苗穂店,札幌市東区東苗穂6条2丁目1-25,新道東駅からバス,,,
ソユーゲームフィールド札幌苗穂店,札幌市東区東苗穂2条3丁目1-1イオンモール札幌苗穂2F,,旧・SOYU PHYSIスポ札幌苗穂店,,
モーリーファンタジー札幌苗穂店,札幌市東区東苗穂2条3丁目1-1イオンモール札幌苗穂2F,,,,
モーリーファンタジー札幌元町店,札幌市東区北31条東15丁目1-1イオン札幌元町店3F,,,,
ラウンドワンスタジアム札幌北21条店,札幌市東区北21条東1丁目1-21,北24条駅,北海道のラウンドワン4店舗はいずれも送迎バスあり,,
ソユーゲームフィールド札幌発寒店,札幌市西区発寒8条12丁目1番地イオンモール札幌発寒3F,,旧・Famiu HASSAMU,,
プラボ札幌西町店,札幌市西区西町北13丁目1ワンダーシティ札幌内,,,,
モーリーファンタジー札幌琴似店,札幌市西区琴似2条4丁目2-2イオン琴似店3F,,,,
モーリーファンタジー札幌発寒店,札幌市西区発寒8条12丁目1-1イオンモール札幌発寒店3F,,,,
キャッツアイ麻生店,札幌市北区北40条西4丁目1-1パッテス麻生1F（旧パボッツ）,麻生駅,,,
キャッツアイ篠路店,札幌市北区篠路1条4丁目6-30,,,,
キャッツアイ新川店,札幌市北区新川2条7丁目1-7,,,,
G-Baoa.g（ジーバオアグー）,札幌市北区北23条西5丁目1-33,北24条駅,旧・ゲームインセブンイレブン,,
MAXIM HERO店,札幌市北区北区北6西6丁目鉄道高架下,札幌駅が圧倒的に近いです,,,
モーリーファンタジー札幌麻生店,札幌市北区北39条西4丁目1-5イオン札幌麻生店4F,,,,
キャッツアイ新札幌店,札幌市厚別区厚別東5条1丁目,,,,
モーリーファンタジー新さっぽろ店,札幌市厚別区厚別中央2条5丁目6-2新札幌アークシティduo22F,,,,
キャッツアイ清田店,札幌市清田区清田1条1丁目20-1,福住駅からバス,,,
