name,address,access,remarks,latitude,longitude
GAME PIA川口,川口市栄町3-1-16 川口共同ビル 3F,川口駅,旧：AM PIA川口,,
ゲームシティ川口,川口市栄町1-10-5,川口駅徒歩10分,,,
プレイランドこころっこ,川口市本町2丁目7-25 ミエル川口3F,,,,
セガ川口,川口市東領家2-2-10,,旧：セガワールド川口,,
ソユーゴールドフィッシュ川口店,川口市並木元町1番79号アリオ川口3F,川口駅県道35産業道路,,,
楽市楽座 イオンモール川口前川店,川口市前川1丁目1-11 イオンモール川口前川,,旧：～川口キャラ店イオンモールでは母体名に愛称がつかなくなりました。,,
川口スプリングレーンズ,川口市川口6-3-34,県道68,1Fアミューズメントコーナー,,
デイトナIII,川口市芝新町4-30 星野ビル B1F,蕨駅,,,
ゲーム・イン・ヒューストン,川口市西川口1-6-3 西川口ビル 1F-2F,西川口駅,,,
ゲオ川口駅前店,川口市本町4-2-3友愛センタービル,川口駅,実質はリトルパーク旧：ウェアハウス川口駅前店,,
カンカン 娯楽場（ぷらっと）,川口市並木3丁目25-15,JR京浜東北線西川口駅東口,7号営業。,,
アドアーズ蕨,蕨市塚越1-4-4 ラ・セーヌビル 2F,蕨駅,1Fはなくなった,,
ソユーパイレーツキッズ錦町店,蕨市錦町1丁目12-1 イトーヨーカドー錦町店2F,戸田駅,,,
ラウンドワンわらび店,蕨市北町5-1-6,北戸田駅,,,
namcoイオンモール北戸田店,戸田市美女木東1-3-1イオンモール北戸田3F,北戸田駅,旧：ナムコ縁起町二丁目、namcoイオン北戸田店,,
モーリーファンタジー北戸田店,戸田市美女木東1-3-1イオンモール北戸田3F,北戸田駅,イオン棟の中です,,
ゲームシティ戸田,戸田市笹目3-21-9,R17バイパス,,,
ギガステーション戸田店,戸田市大字美女木943-7,,旧ヒューケット戸田店,,
ウェアハウス上尾,上尾市上尾村1044,,,,
FESTA上尾,上尾市愛宕3-1-40 バリュープラザ上尾愛宕店内2F,上尾駅,旧：THE 3RD PLANET上尾店ザ・サードプラネットとのFC契約解消により店舗ブランド統一,,
上尾ミナミボウル,上尾市緑丘1-4-5,北上尾駅,東口徒歩10分,,
ラウンドワンスタジアム上尾店,上尾市平塚917-1,,,,
オートパーラー上尾,上尾市大字久保７０－２,北上尾駅,徒歩10分,,
アピナ上尾店,上尾市緑丘3-311-2上尾ショッピングアベニューP・A・P・A PRINCESS(B棟)内,北上尾駅,旧：ガロパ北上尾店2014年2月開店,,
桶川バッティングセンター,桶川市北１丁目２４−２５,,ゲーム機少々,,
タイトーステーション,北本市深井６丁目８７　Hey World,,旧こころっこ,,
モーリーファンタジー,北本市中央４丁目６３イオン北本店,,旧ハローズガーデン,,
アイビーボウル北本,北本市東間４丁目６０,,ゲーム機少々,,
アミュージアム鴻巣,鴻巣市本町1-1-2 エルミこうのすショッピングモール3F,鴻巣駅前,音ゲー多数,,
邦英ジョイ,鴻巣市神明１丁目８－１０,,,,
ぷれいらんど373北鴻巣店,鴻巣市箕田３１１１－１メガドンキ内,,,,
ラウンドワンさいたま・鴻巣店,鴻巣市箕田3163番7,,,,
ファンタジーランドガルー,鴻巣市袋９０－１アピタ吹上店,,,,
ベネクス川越,川越市大仙波340-1,,,,
キャロム川越インター,川越市大字大塚新田山王前462-6,R16/南大塚駅,,,
ゲームシティプラス川越店,川越市泉町1-1 UNICUS南古谷シネマ棟1階,南古谷駅,,,
モナコ川越1号,川越市新富町2-4-1,同上,,,
丸広百貨店わんぱくランド,川越市新富町2-6-1丸広百貨店内7F,同上,,,
ゲームマグマックス川越,川越市脇田町7-2 山二ビルB1F,同上,元ゲームファンタジア新川越,,
namco川越店,川越市脇田町3-6 長谷川ビル1F・2F,同上,,,
T/S 所沢店,所沢市日吉町3-7 スカイビュービルB1F,所沢駅,旧：シルクハット所沢,,
セガ所沢,所沢市日吉町8-1,所沢駅,旧：CLUBSEGA所沢,,
らんらんらんど所沢店,所沢市東町5-22 ダイエー所沢店,所沢駅,,,
アミューズメントパーク,所沢市上山口2227,西武球場前駅,,,
埼玉スポーツセンター,所沢市南永井1116,みずほ台駅,,,
所沢スターレーン,所沢市星の宮 2-1-37,西所沢駅,,,
きゃらんど新所沢店 ゲームセンター,所沢市緑町１丁目２－１,新所沢駅,,,
新所沢ボウル ボウリング場名,所沢市緑町１丁目２１－２６,新所沢駅,,,
キャロム所沢,所沢市下安松969-1,東所沢駅,,,
キャッツアイ狭山,狭山市入間川3141,狭山市駅（遠）,,,
モーリーファンタジー狭山店,狭山市大字上奥富1126-1 イオン狭山店,狭山市駅,旧：ファンタジーアイランド狭山店,,
セガワールド入間,入間市東藤沢2-18,武蔵藤沢駅,,,
モーリーファンタジー入間店,入間市大字上藤沢462-1 イオン入間ショッピングセンター2F,武蔵藤沢駅,旧ファンタジーアイランド入間店,,
ラウンドワンスタジアム入間店,入間市小谷田3-7-25,R299,,,
アミュージアム新座,新座市東北2-32-12 イオン新座3F,志木駅,,,
あそびの広場,新座市中野2丁目1-38 OSCデオシティ新座ミックスミックス,R463,,,
清瀬ボウル,新座市あたご2丁目4-20,,,,
ラウンドワンスタジアム朝霞店,朝霞市膝折町2-16-10,R254,,,
アドアーズ和光店,和光市本町3-5 Million Annex 和光1～3F,和光市駅,,,
タイトーステーション 和光店,和光市丸山台1-4-5,和光市駅,旧：セガワールド和光,,
ファミリーランド和光店,和光市丸山台1-9-3イトーヨーカドー和光店3F,和光市駅,,,
カバロキッズ上福岡東店,ふじみ野市大原2-1-30イトーヨーカドー上福岡東店2F,上福岡駅,ふじみ野市役所向かい,,
パロ埼玉大井店,ふじみ野市西鶴ヶ丘1-3-15ビバモール埼玉大井ショッピングセンター2F,上福岡駅,元 H/T ビバモール,,
アミューズメントフィールドバイヨン,ふじみ野市うれし野2-16-1LCモールうれし野2F,ふじみ野駅,,,
ダイナレックス大井店,ふじみ野市ふじみ野1丁目2-1 イオン大井店3F,ふじみ野駅,,,
ハローズガーデン 三芳店,入間郡三芳町大字藤久保字北新埜855番403 UNICUS三芳,R254,,,
キャロム坂戸,坂戸市関間2-151-1,R407/坂戸駅,,,
ブーボスボス坂戸,坂戸市片柳1732-1,北坂戸駅,,,
スイーツファンタジーパックン,東松山市あずま町四丁目3番地ピオニウォーク東松山2F,高坂駅高坂駅より路線バス,,,
