name,address,access,remarks,latitude,longitude
FESTAフリーモールわさだ店,大分市大字木上2102,南大分方面からR210を突っ走りR442との交差点を過ぎた先,トキハわさだタウンからさらに先中心地からはかなり遠い,,
モーリーファンタジーパークプレイス大分店,大分市公園通り西2-1イオンパークプレイス大分店2F,,,,
舞子浜温泉センター,大分市政所1-4-30,,,,
うめの湯,大分市山津町1-7-7,,,,
臼井プランニング,大分市迫字新殿860-1,,,,
ぶんご温泉,大分市下徳丸36-1,,,,
アサヒ温泉,大分市下郡1716-8,,ゲームコーナーへはフリーパスビデオゲームはない,,
豊の国健康ランド,大分市南春日町12-1,,ゲームコーナーへはフリーパスビデオゲームはない,,
天然温泉　天の川,大分市大字奥田659-1,,ゲームコーナーというよりゲースロの置かれた休憩室,,
ギガ津留店,大分市中津留1-1-18,国道197号線沿い中津留一丁目交差点そば,2013年7月店舗縮小、2016年8月末日営業終了,,
トキハ別府店ゲームコーナー,別府市北浜2-9-1トキハ別府店4階,JR別府駅下車徒歩5分,旧：NL別府店、namcoトキハ別府店ナムコの直営から外れています,,
ヤングセンター (南光物産),別府市北鉄輪1組,,,,
別府自衛隊PX,別府市鶴見4548-143,,,,
プレイトピアハイウェイ,別府市石垣西10-2-32,JR別府大学駅,,,
別府ラクテンチ,別府市流川通り18丁目,,,,
namco杉乃井ホテル店,別府市観海寺1組スギノイパレスUzone1階,,旧：杉乃井ホテルナムコランド店宿泊客でなくても来店可,,
スギノイパレス,別府市観海寺1組,,,,
城島後楽園ホテル,別府市東山123,,,,
セガワールド城島,別府市大字東山123-1,,現状不明。現セントレジャー城島高原,,
ハイテクランドセガハーバープレイス,別府市餅ヶ浜161-2,国道10号線沿い別府郵便局前バスならAPU方面「別府警察署前」にて,,,
遊えん知アミュスポ,大分県別府市新港町1-33,別府郵便局裏バスならAPU方面「別府警察署前」にて,,,
ビッグ・ウェーブ　ゆめタウン別府店,別府市楠町382-7ゆめタウン別府店3階,,,,
別府富士観ホテル,別府市若草町13-21,,,,
別府ポートサービス,別府市汐見町9-1 関西汽船ビル,,,,
かんぽの宿海南荘,別府市鶴見町457,,,,
シーサイドホテル美松,別府市北浜3-14-7,,,,
PSリズムカン中津,中津市古金谷2122-3,,,,
ゆめタウン中津店ゆめキッズ,中津市島田134-1ゆめタウン中津3F,,,,
セガワールド中津,中津市沖代町1-2-16,,,,
トライセン中津店,中津市下池永67-3,,,,
FESTAコスモタウン佐伯店,佐伯市鶴岡西町2-163コスモタウン佐伯内,佐伯駅からバス上岡駅は使い物になりません,,,
トキハインダストリー佐伯店ナムコランド,佐伯市池田2064 トキハインダストリー佐伯店2F,,,,
aaa（トリプル・エー）,佐伯市城東町1-9,佐伯駅からバス,,,
臼杵バッティングセンター,臼杵市市浜950,,,,
ファンタジーパーク臼杵,臼杵市江無田266-5,,,,
レンタルヒット高田,豊後高田市高田2106-1,,,,
スパランド真玉,豊後高田市城前156-1,,,,
かんぽの郷宇佐,宇佐市市川部1571,,,,
メルクス宇佐ナムコランド店,宇佐市大字法鏡寺500ハイパーモールメルクス宇佐内,,,,
トキハインダストリー三重店ナムコランド,豊後大野市三重町市場447-1トキハアクロスプラザ三重3F,,,,
G-pala日田,日田市大字友田字荻鶴986-1,光岡駅徒歩15分,旧：セガワールド日田,,
モーリーファンタジー挟間店,由布市挾間町北方77番地イオン挟間店2F,,,,
筋湯観光ホテル,玖珠郡九重町湯坪662,,,,
宝泉寺観光ホテル,玖珠郡九重町町田2032,,,,
グランドホテル山ノ湯,玖珠郡九重町町田2098,,,,
PSリズムカン玖珠,玖珠郡玖珠町塚脇627-3,,,,
ラウンドワンスタジアム宮崎店,宮崎市中村東3-4-60,南宮崎駅から徒歩圏だが宮交シティに行けるともっと近いでしょう,,,
namco宮交シティ店,宮崎市大淀4-6-28 宮交シティ3F,JR宮崎駅側,旧：らん２らんど宮交シティー店,,
ゲームセンターMEGA,宮崎市高千穂通1-3-22 エースランド2F,宮崎駅徒歩11分,旧：ナムコランド宮崎店,,
楽市楽座イオンモール宮崎店,宮崎市新別府町江口862-1 イオンモール宮崎内2F,,旧：アーバンスクエアイオンモール宮崎店,,
マンガ倉庫加納店,宮崎市加納乙240番1,JR加納駅,,,
縁日堂,宮崎市新名爪313,,,,
サンゲームス都城北店,都城市上川東4丁目5997-4,旧:アーバンスクエア都城北店R10沿い。公共交通は西都城駅からバス有,,,
ジョイプラザ都城店,都城市早水町38号5番地7,JR三股駅,,,
ビリヤードG'z,都城市牟田町4-2,JR西都城駅,,,
楽市楽座イオンモール都城駅前店,宮崎県都城市栄町4672-5 イオンモール都城駅前2F,JR都城駅,旧：楽市楽座イオンモールミエル都城駅前（イオンモールでは店舗の愛称はすべて廃しています）,,
マンガ倉庫都城店,都城市吉尾町840,,,,
セガ延岡,延岡市平原町5-1492-8,,旧：SWヒダカプラザ南九州のセガのお店は2店舗しかありません。,,
ナムコランド日向店,日向市日知屋14798-1 ハイパーモールメルクス日向内,R10沿い。一見遠いようだが公共交通でも可,,,
キラキラAsoboxイオン日向店,日向市大字日知屋字古田町61-1 イオンタウン日向D棟,,,,
ゲオパーク日向店,日向市大字日知屋16320-1,JR日向市駅,2014年1月　ゲームコーナーが閉鎖,,
ピノキオランド日南店,日南市材木町4-1 サピア日南ショッピングセンター2F,JR油津駅,,,
日南トイスタジアム,日南市星倉4-5-10,,,,
ファンタジーランド,串間市西方5590 ニシムタ串間店2F,JR串間駅,,,
サンゲームス天文館店,鹿児島市千日町５−６,天文館通電停・天文館バス停,平成２８年７月オープン・以前T/S天文館があったところ,,
T/S アミュプラザ鹿児島店,鹿児島市中央町1-1 アミュプラザ鹿児島5F,鹿児島中央駅,旧：BEAT GROOVERSちなみに、九州のタイトーのお店はすべてインベーダー化されています。,,
THE 3RD PLANET ジャングルパーク鹿児島店,鹿児島市与次郎1-11-1フレスポジャングルパーク2F,交通局前からバス,,,
モーリーファンタジー鹿児島店,鹿児島市東開町7イオンモール鹿児島3F,,イオン棟の中です,,
